var_short,var_long,unit,under_var
cdd,maximum_consecutive_dry_days,d,precipitation
cfd,maximum_consecutive_frost_days,d,minimum_temperature
csdi,cold_spell_duration_index,d,minimum_temperature
wsdi,warm_spell_duration_index,d,maximum_temperature
csu,maximum_consecutive_summer_days,d,maximum_temperature
cwd,maximum_consecutive_wet_days,d,precipitation
ww,warm_wet_days,d,average_temperature+precipitation
dtr,diurnal_temperature_range,degC,maximum_temperature+minimum_temperature
bedd-10,biologically_effective_degree_days,degC,average_temperature
gsl,growing_season_length,d,average_temperature
fd,frost_days,d,minimum_temperature
id,ice_days,d,maximum_temperature
r10mm,heavy_precipitation_days,d,precipitation
r20mm,very_heavy_precipitation_days,d,precipitation
rr,precipitation,mm,precipitation
rr1,wet_days,d,precipitation
sdii,simple_daily_intensity_index,mm,precipitation
su,summer_days,d,maximum_temperature
tg,average_temperature,degC,average_temperature
tn,mean_minimum_temperature,degC,minimum_temperature
tnn,minimum_minimum_temperature,degC,minimum_temperature
tnx,maximum_minimum_temperature,degC,minimum_temperature
tr,tropical_nights,d,minimum_temperature
tx,mean_maximum_temperature,degC,maximum_temperature
txn,minimum_maximum_temperature,degC,maximum_temperature
txx,maximum_maximum_temperature,degC,maximum_temperature
